index,table                 ,table_count,id        ,name                   ,shape
69   ,bazhoupois_hotel      ,48         ,B0FFFWKCPN,美佳宾馆                   ,"86.876602,42.272669;86.878289,42.279735;86.871005,42.278191;86.877378,42.277682;86.876602,42.272669"
70   ,bazhoupois_hotel      ,49         ,B03E4002M1,金丽华大酒店                 ,"86.866761,42.282398;86.866477,42.280357;86.866191,42.275737;86.866191,42.274772;86.866761,42.282398"
71   ,bazhoupois_hotel      ,50         ,B0FFFFVHFJ,洲际钻石酒店                 ,"86.869698,42.279286;86.875739,42.271766;86.869025,42.270351;86.877633,42.279105;86.869698,42.279286"
72   ,bazhoupois_hotel      ,51         ,B03E400KAR,华都宾馆(清水河北路)            ,"86.867529,42.284689;86.862056,42.294363;86.860617,42.292637;86.86801,42.287535;86.869812,42.292646;86.868017,42.285876;86.867529,42.284689"
73   ,bazhoupois_hotel      ,52         ,B03E400ESY,兴合酒店                   ,"86.395247,42.315205;86.3952,42.308062;86.389004,42.314336;86.395222,42.309683;86.395247,42.315205"
74   ,bazhoupois_hotel      ,53         ,B0FFFV58FR,建宇商务宾馆                 ,"86.403506,42.315819;86.395982,42.320586;86.403308,42.315535;86.402174,42.322509;86.3956,42.322103;86.39563,42.320867;86.403506,42.315819"
75   ,bazhoupois_hotel      ,54         ,B0FFFFSPMM,天一酒店                   ,"88.161512,39.013184;88.169093,39.008066;88.163383,39.008066;88.160648,39.015024;88.161512,39.013184"
76   ,bazhoupois_hotel      ,55         ,B03E400EPK,三宝大酒店                  ,"84.240356,41.786146;84.247595,41.781304;84.247606,41.787612;84.247934,41.780824;84.240356,41.786146"
77   ,bazhoupois_hotel      ,56         ,B03E400EU7,中亚大酒店                  ,"84.254425,41.773935;84.255467,41.767934;84.255751,41.768076;84.249759,41.773596;84.254425,41.773935"
78   ,bazhoupois_hotel      ,57         ,B03E400JJV,都护府迎宾馆                 ,"84.253066,41.776244;84.254181,41.775792;84.253263,41.781246;84.25279,41.779956;84.244846,41.780508;84.253066,41.776244"
79   ,bazhoupois_hotel      ,58         ,B0FFFFRRWX,富华商务酒店                 ,"84.243294,41.780616;84.251806,41.786819;84.253376,41.788256;84.246038,41.779433;84.243294,41.780616"
80   ,bazhoupois_hotel      ,59         ,B0FFG8SS1U,鑫亚快捷宾馆(轮台县店)           ,"84.26441,41.785583;84.26424,41.793475;84.264554,41.791961;84.273507,41.786988;84.26441,41.785583"
81   ,bazhoupois_hotel      ,60         ,B0FFIA5K7V,美好酒店                   ,"86.256022,41.71687;86.25419,41.715605;86.254195,41.717637;86.247556,41.710077;86.256022,41.71687"
82   ,bazhoupois_officeBuild,1          ,B0FFG2AEBD,工行大厦                   ,"86.159173,41.744837;86.160482,41.752059;86.160232,41.753827;86.161101,41.753716;86.161461,41.74546;86.154735,41.74688;86.160539,41.746519;86.153178,41.752544;86.161278,41.752271;86.160405,41.746643;86.159173,41.744837"
83   ,bazhoupois_officeBuild,2          ,B03E4007VP,豪景商务大厦                 ,"86.148901,41.767257;86.150403,41.758997;86.157255,41.765755;86.15742,41.768577;86.155994,41.762141;86.157817,41.759703;86.149225,41.767715;86.148901,41.767257"
84   ,bazhoupois_officeBuild,3          ,B03E40MAWE,聚荣大厦                   ,"86.137399,41.758175;86.145517,41.764434;86.144232,41.76464;86.135638,41.765508;86.144283,41.763904;86.144657,41.758756;86.144173,41.763312;86.143875,41.765116;86.138298,41.75699;86.144589,41.765436;86.145891,41.75824;86.137399,41.758175"
